country,year,M,X,dep_m,n_suppliers,HHI,HHI_clean,entropy,entropy_clean,DCI,GDP.x,DEE,DTE,DMSP,DUC,DTI,asym,cyc2,cyc_katz,broker,eigen,country_name,GDP.y,new_cb_firms,CB_Firms_Cumulative
ARM,2021,1203855314.6725757,189868.99987950255,0.9998423074129988,37,0.6485494755140304,0.6387869609449758,0.8559937427186503,0.23705710387966644,0.0132155085420929,4264.79961505187,37.586336495983,34.6800925054532,37.3657899735033,46.9414328251122,31.3580306798632,0.6485494706766259,22727753845.8344,3.9551628638889724e-10,0,0.5452931118113991,Armenia,13878908628.9378,25,507
ATG,2016,580294087.7643825,0,1,29,0.6769512360279918,0.6654137801718486,0.8215292528385356,0.2439729962311733,0,16635.895232831,NA,NA,NA,NA,NA,0.6769512360279918,0,0,0,0.5118146991883772,Antigua & Barbuda,1489603703.7037,2,19
ATG,2017,662634901.7554485,0,1,31,0.6988515837574066,0.6888133032159869,0.7796171639043705,0.22702972302462543,0,16992.9327495236,NA,NA,NA,NA,NA,0.6988515837574066,0,0,0,0.5064113402597784,Antigua & Barbuda,1534855555.55556,0,19
ATG,2018,750519030.0757433,0,1,36,0.7195305168872568,0.7115171030840355,0.7331017337805433,0.20457593398303237,0,18042.1596435727,NA,NA,NA,NA,NA,0.7195305168872568,0,0,0,0.5856558293792948,Antigua & Barbuda,1661529629.62963,0,19
ATG,2019,1052173128.1568793,0,1,37,0.7110214264072153,0.7029942438074157,0.7431036410980658,0.20579355695014998,0,18525.2588907167,NA,NA,NA,NA,NA,0.7110214264072153,0,0,0,0.5952459230157078,Antigua & Barbuda,1726448148.14815,1,20
ATG,2020,1142129989.822248,0,1,40,0.6879450818428043,0.6799436736849275,0.7904141230093599,0.21426943678733362,0,14950.8942397208,NA,NA,NA,NA,NA,0.6879450818428043,0,0,0,0.6013366287146243,Antigua & Barbuda,1411637037.03704,1,21
ATG,2021,1441492040.5576506,0,1,38,0.6756478279639972,0.6668815530441053,0.8023747557777299,0.22057890055258056,0,16084.7214406048,NA,NA,NA,NA,NA,0.6756478279639972,0,0,0,0.5582297575321471,Antigua & Barbuda,1602125925.92593,0,21
AUS,2016,17584478907.621128,75987509.44549264,0.995697310158691,50,0.7123150140345493,0.7064438918719891,0.7938392739704716,0.2029229564521927,0.3792012150823595,57632.9995925594,NA,NA,NA,NA,NA,0.7116552080356379,285852201393835230,0.00325993810639069,0,0.8660082204428309,Australia,1211588128417.61,3200,80321
AUS,2017,20788772974.112877,150730095.3562438,0.9928016393294444,49,0.7347392243789951,0.7292129582202241,0.7441200273949602,0.19120102430120176,0.3533946236438694,57991.771347333,74.3387836840105,66.8541285669888,76.8229451412529,77.8870616365517,75.7909993912484,0.7340385478622404,422131525695681700,0.00369388491152733,0,0.809209626329468,Australia,1330890554614.09,3061,83382
AUS,2018,21637606453.5246,104640807.21052356,0.9951872128968243,49,0.7481817471162244,0.742935533514479,0.717101546029961,0.18425864790779123,0.2911990597896146,58772.7063152213,75.0567434724808,67.4129249789288,77.5776011855982,78.8744647987952,76.361982926601,0.7473902182986141,717215785218013400,0.00233692996126877,0.0054444644608579,0.7805511542527035,Australia,1433144978761.67,2658,86040
AUS,2019,24478089321.777668,148626496.8195159,0.9939648267388022,51,0.7478524846686674,0.7428095343620407,0.7171436890317369,0.18239458104728684,0.3153005816277536,59181.2997904131,77.6211524572121,68.7693636444214,81.0792974005117,81.2041449973401,79.4318037865754,0.7467870947548412,1373294794885035e3,0.00338419084291374,0.01082501781895937,0.8096291410134336,Australia,1398349602956.35,2141,88181
AUS,2020,30483843577.582283,190293271.61189964,0.9937962957997007,51,0.7401022339793487,0.7349042786589357,0.7346127045253302,0.18683755922724474,0.31701506438912974,58377.7670517802,79.6364293593626,71.6462704393558,81.3782620552034,85.2087135297251,80.3124714131659,0.7390682816794628,2106527813190157300,0.00367059989736828,0.00541250890947968,0.7844854766627505,Australia,1333336461648.09,1983,90164
AUS,2021,37637442190.80032,230949320.89925522,0.9939012640442385,48,0.745942604242361,0.7405371277368793,0.7136375242896342,0.18434525158440915,0.3434450971573804,59465.535671364,81.4692357588823,73.7283890443264,84.6303711040641,86.3270315040236,81.1911513831152,0.7448898124073408,3053323315838383e3,0.00410544710890548,0.00573665815297755,0.7128079420466438,Australia,1560617493202.69,1371,91535
AUT,2016,2958202545.211221,36218044.076450385,0.98790482398965,52,0.6509019423237475,0.6440568823693112,0.918957791261256,0.2325743124727268,0.0978043060361965,44362.6702805116,NA,NA,NA,NA,NA,0.6505239870053773,29198466708570980,2.8208165877030567e-4,0,0.8989055263673543,Austria,393687359770.273,321,7558
AUT,2017,3683175416.522929,38806212.91966278,0.9895737763419659,48,0.6653238771997482,0.65820310862953,0.8902439372245994,0.22996582577762228,0.09348259032022212,45056.6385912412,60.356425341428,56.5576527088117,55.2831083823924,70.6671691284415,58.9177711460664,0.6650752882344931,30615125424513628,1.770373523100055e-4,0,0.7842010313951421,Austria,414926138132.691,329,7887
AUT,2018,4315768211.425832,66781734.84613072,0.9847618998836651,52,0.6809365447082558,0.6746803985260648,0.8577310045777834,0.21707873916867,0.08489905279595365,45951.5819164034,63.6199422981102,57.8230684517776,57.6488642771661,71.576034711736,67.4318017517609,0.6804304463883574,91085258230346608,3.1125722075930895e-4,0,0.8317022678940493,Austria,452582294972.775,283,8170
AUT,2019,4744676661.402802,128182254.75357383,0.9736946509309813,53,0.6686649876726682,0.6622931605125273,0.8848434555913232,0.2228660952034823,0.09342034990247759,46550.5622459492,65.7879922633097,60.058192799179,59.8629446567253,74.8988166286682,68.3320149686664,0.6677340407981026,223484762522472770,6.02067684349894e-4,0,0.8527033073387641,Austria,442983642371.842,280,8450
AUT,2020,5079298147.812465,172351140.8734509,0.9671815211947298,52,0.6397889140379885,0.6327259515681452,0.9541397440465144,0.24147833239430466,0.08245805805519485,43428.6983137234,67.6212182299506,62.3239063292427,61.9486619992833,75.6328915530145,70.5794130382618,0.6388300037584609,320353066646594240,5.870554230509306e-4,0,0.8045574429980438,Austria,434397601557.696,234,8684
AUT,2021,5997860379.241242,216979757.77294743,0.9650868320038251,53,0.6415544591910936,0.6346612757139992,0.938000572904858,0.23625481282701255,0.08695762948108716,45368.6434337368,70.0017671147588,63.8597528324228,66.7089932382814,78.1880809724276,71.2502414159031,0.6404359975491091,529029552590983800,7.025831979969865e-4,0,0.778794809664195,Austria,480466363176.806,214,8898
AZE,2016,505756146.66324425,0,1,26,0.7046266253238026,0.6928116903367547,0.7712075530936096,0.23670494231639144,0,5272.71817141861,NA,NA,NA,NA,NA,0.7046266253238026,0,0,0,0.45940443848247264,Azerbaijan,37866996882.9157,25,474
AZE,2017,578588061.1946669,0,1,29,0.6959545739019738,0.6850958086841872,0.7936775256852583,0.23570175171940458,0,5229.25259993413,21.074803399949,22.8521583699089,11.254122457,24.2409763553099,25.951956417577,0.6959545739019738,0,0,0,0.4753314596766616,Azerbaijan,40866627351.9817,40,514
AZE,2018,654439120.2062569,0,1,31,0.7166422088419043,0.7071969491366344,0.7379174446989104,0.21488648639549765,0,5261.92938234432,23.4818342543957,24.1574759295679,11.0165192281983,28.3926463104803,30.3606955493362,0.7166422088419043,0,0,0,0.5044017038480944,Azerbaijan,47112470051.7701,34,548
AZE,2019,688574844.3412766,0,1,35,0.7162258481430237,0.707879549558995,0.7414482364283821,0.20854448667334502,0,5346.95318604114,24.9125912424193,24.5181274757176,13.042523413858,31.4276891557041,30.6620249243975,0.7162258481430237,0,0,0,0.5580801284935336,Azerbaijan,48174235294.1176,35,583
AZE,2020,706886424.8226129,215723,0.9996949196086248,63,0.6817329008232803,0.6765995605139783,0.8127016745937595,0.19615622668915303,0.016544839572542335,5087.50022783627,28.7543192122556,26.5296100644227,21.0526796126681,34.463871905469,32.9711152664627,0.6817327984850099,748794338585.9996,4.0417513780255385e-9,0,0.9806686725344644,Azerbaijan,42693000000,31,614
AZE,2021,830097366.6460527,520326,0.9993735674009755,65,0.6621489989960155,0.6568700771053282,0.8351702473571796,0.20007014044436264,0.037114872229380584,5349.58226071425,29.2720185903301,27.7128317698528,22.9070495090554,33.391340049133,33.0768530332792,0.6621488478895026,2044326578119.807,8.852322208596775e-9,0,0.9793150601655488,Azerbaijan,54825411764.7059,32,646
BDI,2016,215435983.41440052,0,1,26,0.711210598477348,0.699659022416442,0.7374701287088479,0.22634999304123915,0,258.061970808946,NA,NA,NA,NA,NA,0.711210598477348,0,0,0,0.4594044384824727,Burundi,2618093125.14687,0,8
BDI,2017,235584235.71694893,0,1,28,0.7367304594684706,0.7269797357450807,0.6954535749888667,0.20870675040059306,0,261.725839288764,6.15567739553231,9.1874645760494,7.02499057349559,0.0865080475603334,8.32374638502393,0.7367304594684706,0,0,0,0.457282353974565,Burundi,2831362208.34039,0,8
BDI,2018,255395363.34826642,0,1,31,0.7471977802868445,0.7387710396297393,0.668236181192124,0.19459483725487903,0,267.508692172687,5.53277310383141,7.4844729277625,7.19458364203722,0.300784934785962,7.15125091073994,0.7471977802868445,0,0,0,0.5032737237059131,Burundi,2913411408.44783,2,10
BDI,2019,259695715.4641661,0,1,32,0.7395801482227689,0.7311795078428581,0.6891246901849831,0.1988393546168037,0,270.411005710809,4.51369809850316,6.64804051078947,7.44069480308201,0.247000207503489,3.71905687263766,0.7395801482227689,0,0,0,0.5147828220222248,Burundi,2871555326.31029,2,12
BDI,2020,261390396.64836302,0,1,37,0.7233441372489279,0.7156592521725091,0.7041274641930786,0.19499957662495185,0,263.463876356897,4.25018528856791,6.54836248515004,6.48648959614033,0.649995391548515,3.31589368143276,0.7233441372489279,0,0,0,0.5639668294799268,Burundi,3227847281.31544,0,12
BDI,2021,302987980.83948463,0,1,31,0.7236770655602852,0.7144663010789614,0.6892171199501803,0.2007046266945872,0,264.682651664249,4.66178677915094,7.90637321413077,6.88944017041597,0.861965446832687,2.98936828522435,0.7236770655602852,0,0,0,0.4533542774728909,Burundi,3435598072.7935,0,12
BEL,2016,3114796108.82627,7457635.724643226,0.9976114575128116,52,0.758883791808892,0.7541560230208311,0.6790223446198117,0.17185028132448224,0.09562637550529392,41172.8862831209,NA,NA,NA,NA,NA,0.7588134291437635,5962206280479280,5.5696457508691566e-5,0,0.9083741874866968,Belgium,474271566739.729,659,17454
