firm,iso_o,category,parent
AKAMAI TECHNOLOGIES SPAIN S.L.,ESP,Cybersecurity,AKAMAI TECHNOLOGIES LIMITED
AKAMAI TECHNOLOGIES SPAIN S.L.,ESP,cloud-computing,AKAMAI TECHNOLOGIES LIMITED
AKAMAI TECHNOLOGIES YUHAN HOESA,KOR,Cybersecurity,AKAMAI TECHNOLOGIES LIMITED
AKAMAI TECHNOLOGIES YUHAN HOESA,KOR,cloud-computing,AKAMAI TECHNOLOGIES LIMITED
ALACRA LIMITED,GBR,software_enterprise-software_customer-relationship-management-software,ALACRA LIMITED
ALBUQUERQUE STUDIOS CORP,USA,digital-media_video-on-demand_video-streaming-svod,"NETFLIX, INC."
ALEXA INTERNET INC,USA,cloud-computing,"AMAZON.COM, INC."
ALI BABA GROUP LLC,USA,cloud-computing,ALI BABA GROUP LLC
ALI BABA GROUP LLC,USA,online-marketplace,ALI BABA GROUP LLC
ALIBABA (AUSTRALIA) COMPANY PTY LTD,AUS,cloud-computing,ALI BABA GROUP LLC
ALIBABA (AUSTRALIA) COMPANY PTY LTD,AUS,online-marketplace,ALI BABA GROUP LLC
"ALIBABA (BEIJING) SOFTWARE SERVICE CO., LTD.",CHN,cloud-computing,ALI BABA GROUP LLC
"ALIBABA (BEIJING) SOFTWARE SERVICE CO., LTD.",CHN,online-marketplace,ALI BABA GROUP LLC
"ALIBABA (CHINA) CO., LTD.",CHN,cloud-computing,ALI BABA GROUP LLC
"ALIBABA (CHINA) CO., LTD.",CHN,online-marketplace,ALI BABA GROUP LLC
"ALIBABA (CHINA) TECHNOLOGY CO., LTD.",CHN,cloud-computing,ALI BABA GROUP LLC
"ALIBABA (CHINA) TECHNOLOGY CO., LTD.",CHN,online-marketplace,ALI BABA GROUP LLC
ALIBABA CLOUD (INDIA) LLP,IND,cloud-computing,ALI BABA GROUP LLC
ALIBABA CLOUD (MALAYSIA) SDN BHD,MYS,cloud-computing,ALI BABA GROUP LLC
ALIBABA CLOUD (SINGAPORE) PRIVATE LIMITED,SGP,cloud-computing,ALI BABA GROUP LLC
"ALIBABA CLOUD COMPUTING CO., LTD.",CHN,cloud-computing,ALI BABA GROUP LLC
"ALIBABA DAMO ACADEMY (HANGZHOU) TECHNOLOGY CO., LTD.",CHN,cloud-computing,ALI BABA GROUP LLC
"ALIBABA DAMO ACADEMY (HANGZHOU) TECHNOLOGY CO., LTD.",CHN,online-marketplace,ALI BABA GROUP LLC
ALIBABA FINANCIAL CHINA HOLDING LIMITED,HKG,cloud-computing,ALI BABA GROUP LLC
ALIBABA FINANCIAL CHINA HOLDING LIMITED,HKG,online-marketplace,ALI BABA GROUP LLC
ALIBABA FINANCIAL HOLDING LIMITED,CYM,cloud-computing,ALI BABA GROUP LLC
ALIBABA FINANCIAL HOLDING LIMITED,CYM,online-marketplace,ALI BABA GROUP LLC
ALIBABA FINANCIAL INVESTMENT HOLDING LIMITED,VGB,cloud-computing,ALI BABA GROUP LLC
ALIBABA FINANCIAL INVESTMENT HOLDING LIMITED,VGB,online-marketplace,ALI BABA GROUP LLC
ALIBABA FUND SARL,LUX,cloud-computing,ALI BABA GROUP LLC
ALIBABA FUND SARL,LUX,online-marketplace,ALI BABA GROUP LLC
ALIBABA GROUP PROPERTIES LIMITED,CYM,cloud-computing,ALI BABA GROUP LLC
ALIBABA GROUP PROPERTIES LIMITED,CYM,online-marketplace,ALI BABA GROUP LLC
ALIBABA GROUP SERVICES LIMITED,HKG,cloud-computing,ALI BABA GROUP LLC
ALIBABA GROUP SERVICES LIMITED,HKG,online-marketplace,ALI BABA GROUP LLC
ALIBABA GROUP TREASURY LIMITED,VGB,cloud-computing,ALI BABA GROUP LLC
ALIBABA GROUP TREASURY LIMITED,VGB,online-marketplace,ALI BABA GROUP LLC
ALIBABA HEALTH INFORMATION TECHNOLOGY LIMITED,BMU,cloud-computing,ALI BABA GROUP LLC
ALIBABA HEALTH INFORMATION TECHNOLOGY LIMITED,BMU,online-marketplace,ALI BABA GROUP LLC
ALIBABA HEALTH TECHNOLOGY (CHINA) LIMITED,CHN,cloud-computing,ALI BABA GROUP LLC
ALIBABA HEALTH TECHNOLOGY (CHINA) LIMITED,CHN,online-marketplace,ALI BABA GROUP LLC
ALIBABA INVESTMENTS LTD,CYP,cloud-computing,ALI BABA GROUP LLC
ALIBABA INVESTMENTS LTD,CYP,online-marketplace,ALI BABA GROUP LLC
ALIBABA PICTURES GROUP LIMITED,BMU,cloud-computing,ALI BABA GROUP LLC
ALIBABA PICTURES GROUP LIMITED,BMU,online-marketplace,ALI BABA GROUP LLC
ALIBABA(FRANCE),FRA,cloud-computing,ALI BABA GROUP LLC
ALIBABA(FRANCE),FRA,online-marketplace,ALI BABA GROUP LLC
ALIBABA.COM (EUROPE) LIMITED,GBR,cloud-computing,ALI BABA GROUP LLC
ALIBABA.COM (EUROPE) LIMITED,GBR,online-marketplace,ALI BABA GROUP LLC
ALIBABA.COM (RU),RUS,cloud-computing,ALI BABA GROUP LLC
ALIBABA.COM (RU),RUS,online-marketplace,ALI BABA GROUP LLC
ALIBABA.COM CHINA LIMITED,HKG,cloud-computing,ALI BABA GROUP LLC
ALIBABA.COM CHINA LIMITED,HKG,online-marketplace,ALI BABA GROUP LLC
ALIBABA.COM HONG KONG LIMITED,HKG,cloud-computing,ALI BABA GROUP LLC
ALIBABA.COM HONG KONG LIMITED,HKG,online-marketplace,ALI BABA GROUP LLC
ALIBABA.COM INTERNATIONAL (BVI) HOLDING LIMITED,VGB,cloud-computing,ALI BABA GROUP LLC
ALIBABA.COM INTERNATIONAL (BVI) HOLDING LIMITED,VGB,online-marketplace,ALI BABA GROUP LLC
ALIBABA.COM INTERNATIONAL (CAYMAN) HOLDING LIMITED,CYM,cloud-computing,ALI BABA GROUP LLC
ALIBABA.COM INTERNATIONAL (CAYMAN) HOLDING LIMITED,CYM,online-marketplace,ALI BABA GROUP LLC
ALIBABA.COM INVESTMENT HOLDING LIMITED,VGB,cloud-computing,ALI BABA GROUP LLC
ALIBABA.COM INVESTMENT HOLDING LIMITED,VGB,online-marketplace,ALI BABA GROUP LLC
ALIBABA.COM LIMITED,CYM,cloud-computing,ALI BABA GROUP LLC
ALIBABA.COM LIMITED,CYM,online-marketplace,ALI BABA GROUP LLC
ALIBABA.COM SINGAPORE E-COMMERCE PRIVATE LIMITED,SGP,cloud-computing,ALI BABA GROUP LLC
ALIBABA.COM SINGAPORE E-COMMERCE PRIVATE LIMITED,SGP,online-marketplace,ALI BABA GROUP LLC
ALICLOUD (GERMANY) GMBH,DEU,cloud-computing,ALI BABA GROUP LLC
ALICLOUD (GERMANY) GMBH,DEU,online-marketplace,ALI BABA GROUP LLC
ALIMAMA INVESTMENT HOLDING LIMITED,VGB,cloud-computing,ALI BABA GROUP LLC
ALIMAMA LTD,GBR,cloud-computing,ALI BABA GROUP LLC
ALIPAY SINGAPORE E-COMMERCE PRIVATE LIMITED,SGP,cloud-computing,ALI BABA GROUP LLC
ALIPAY SINGAPORE E-COMMERCE PRIVATE LIMITED,SGP,online-marketplace,ALI BABA GROUP LLC
ALISOFT CHINA HOLDING LIMITED,HKG,software_enterprise-software_business-intelligence-software,ALI BABA GROUP LLC
ALISOFT HOLDING LIMITED,CYM,software_enterprise-software_business-intelligence-software,ALI BABA GROUP LLC
ALISOFT INVESTMENT HOLDING LIMITED,VGB,software_enterprise-software_business-intelligence-software,ALI BABA GROUP LLC
ALL HOTELS LTD,USA,software_enterprise-software_customer-relationship-management-software,SABRE CORPORATION
ALLEGORITHMIC INC,USA,software_productivity-software_creative-software,ADOBE INC
ALPHABET INC.,USA,cloud-computing,ALPHABET INC.
ALPHABET INC.,USA,digital-advertising,ALPHABET INC.
ALPHABET INC.,USA,online-marketplace,ALPHABET INC.
ALPINE DATA LABS,USA,software_enterprise-software_other-enterprise-software,ALPINE DATA LABS
ALTABA INC.,USA,digital-advertising,VERIZON COMMUNICATIONS INC
AMAYA US SERVICES LTD,USA,online-gambling,STARS GROUP INC. (THE)
AMAZON CANADA FULFILLMENT SERVICES INC,CAN,cloud-computing,"AMAZON.COM, INC."
AMAZON CANADA FULFILLMENT SERVICES INC,CAN,digital-advertising,"AMAZON.COM, INC."
AMAZON CANADA FULFILLMENT SERVICES INC,CAN,digital-media_video-on-demand_video-streaming-svod,"AMAZON.COM, INC."
AMAZON CANADA FULFILLMENT SERVICES INC,CAN,online-marketplace,"AMAZON.COM, INC."
AMAZON CORPORATE LLC,USA,cloud-computing,"AMAZON.COM, INC."
AMAZON CORPORATE LLC,USA,digital-advertising,"AMAZON.COM, INC."
AMAZON CORPORATE LLC,USA,digital-media_video-on-demand_video-streaming-svod,"AMAZON.COM, INC."
AMAZON CORPORATE LLC,USA,online-marketplace,"AMAZON.COM, INC."
AMAZON CS POLAND SP. Z O.O.,POL,cloud-computing,"AMAZON.COM, INC."
AMAZON CS POLAND SP. Z O.O.,POL,digital-advertising,"AMAZON.COM, INC."
AMAZON CS POLAND SP. Z O.O.,POL,digital-media_video-on-demand_video-streaming-svod,"AMAZON.COM, INC."
AMAZON CS POLAND SP. Z O.O.,POL,online-marketplace,"AMAZON.COM, INC."
AMAZON DATA SERVICES CZECH REPUBLIC S.R.O.,CZE,cloud-computing,"AMAZON.COM, INC."
AMAZON DATA SERVICES DENMARK APS,DNK,cloud-computing,"AMAZON.COM, INC."
AMAZON DATA SERVICES FINLAND OY,FIN,cloud-computing,"AMAZON.COM, INC."
AMAZON DATA SERVICES FRANCE,FRA,cloud-computing,"AMAZON.COM, INC."
AMAZON DATA SERVICES INDIA PRIVATE LIMITED,IND,cloud-computing,"AMAZON.COM, INC."
AMAZON DATA SERVICES JAPAN K.K.,JPN,cloud-computing,"AMAZON.COM, INC."
AMAZON DATA SERVICES SOUTH AFRICA (PTY) LTD,ZAF,cloud-computing,"AMAZON.COM, INC."
AMAZON DATA SERVICES SPAIN SL.,ESP,cloud-computing,"AMAZON.COM, INC."
AMAZON DATA SERVICES UK LIMITED,GBR,cloud-computing,"AMAZON.COM, INC."
AMAZON DEVELOPMENT CENTER (NETHERLANDS) B.V.,NLD,cloud-computing,"AMAZON.COM, INC."
AMAZON DEVELOPMENT CENTER (NETHERLANDS) B.V.,NLD,digital-advertising,"AMAZON.COM, INC."
AMAZON DEVELOPMENT CENTER (NETHERLANDS) B.V.,NLD,digital-media_video-on-demand_video-streaming-svod,"AMAZON.COM, INC."
AMAZON DEVELOPMENT CENTER (NETHERLANDS) B.V.,NLD,online-marketplace,"AMAZON.COM, INC."
AMAZON DEVELOPMENT CENTER (ROMANIA) SRL,ROU,cloud-computing,"AMAZON.COM, INC."
AMAZON DEVELOPMENT CENTER (ROMANIA) SRL,ROU,digital-advertising,"AMAZON.COM, INC."
AMAZON DEVELOPMENT CENTER (ROMANIA) SRL,ROU,digital-media_video-on-demand_video-streaming-svod,"AMAZON.COM, INC."
AMAZON DEVELOPMENT CENTER (ROMANIA) SRL,ROU,online-marketplace,"AMAZON.COM, INC."
AMAZON DEVELOPMENT CENTER GERMANY GMBH,DEU,cloud-computing,"AMAZON.COM, INC."
AMAZON DEVELOPMENT CENTER GERMANY GMBH,DEU,digital-advertising,"AMAZON.COM, INC."
AMAZON DEVELOPMENT CENTER GERMANY GMBH,DEU,digital-media_video-on-demand_video-streaming-svod,"AMAZON.COM, INC."
AMAZON DEVELOPMENT CENTER GERMANY GMBH,DEU,online-marketplace,"AMAZON.COM, INC."
