firm,category,iso_o
"Beyond, Inc.",apps,JPN
"BFTV, LLC",apps,USA
BFUN ENTERTAINMENT,games,TWN
Bian ChenXing,games,CHN
Bibliographisches Institut GmbH,apps,DEU
Big Blue Bubble Inc,games,CAN
Big Cats Studio,apps,HKG
Big Data Technologies ltd.,apps,ISR
Big Duck Games LLC,games,USA
"Big Fish Games, Inc",games,USA
BIG HEAD BROTHERS,apps,CHN
Big Head Games,games,IRL
Big Kick Games,games,USA
"Big Win Studios - Free slots, casino, pokies, fun",games,ESP
BIGBANG INTERACTIVE LIMITED,games,KOR
"BIGBANG, Inc.",games,JPN
BigBullGame ltd.,games,PHL
Biggerworks,apps,NLD
BIGITEC GmbH,apps,SAU
BIGLOBE Inc.,apps,JPN
Bigo Technology Pte. Ltd.,apps,SGP
Bigpoint,games,ITA
Bigshot Games,games,KOR
Bigsool,apps,FRA
BIGSTAR tv,apps,NGA
BILD,apps,DEU
bilibili,apps,CHN
bilibili,games,CHN
Billionaire Games Limited,games,USA
Bimewan,games,KOR
bin meng,games,ARE
bin yuan,games,CHN
Bini Bambini,games,CYP
Binzi Shang,games,CHN
Birthe Buhl,apps,DNK
BIT FACTORY DA,apps,NOR
Bit Mass LLC,games,SAU
Bitdefender,apps,ROU
Bitflash,games,TUR
"Bithouse, Inc.",apps,TWN
BITLANTIS,games,CHE
"BitMango, Inc.",games,KOR
Bitolithic Pty Ltd,apps,EGY
Bitsmedia Pte Ltd,apps,SGP
BitWarp Developments,apps,IND
BlaBla Connect,apps,ARE
BlaBla Connect Limited,apps,EGY
BlackBerry Limited,apps,CAN
"BLACKCOFFEE Co.,LTD",games,KOR
Blackdivine,apps,FRA
blanc. inc.,games,JPN
Blast Bit Enterprises AB,games,SWE
BlastOn SA,apps,FRA
Blastworks Inc.,games,GBR
"Blayze Games, L.L.C.",games,USA
Blendle,apps,NLD
Blendr LLC --,apps,USA
Blick,apps,CHE
Blinks Labs,apps,USA
Bliss llc,apps,JPN
"BlitWise Productions, LLC",games,IND
"Blizzard Entertainment, Inc.",games,USA
Bloom Built Inc,apps,USA
Bloomberg Finance LP,apps,USA
Bloop S.R.L.,apps,POL
BLUE & SONS S.A.,apps,FRA
"Blue Blink One, SL",apps,COL
BLUE GNC,games,KOR
BLUE PRINT Inc.,games,JPN
Blue Tea Games US,games,SAU
BLUECITY HOLDINGS HONG KONG LIMITED,apps,PHL
BLUEMOUNTAINSOFT. INC,apps,KOR
Bluewind,games,KOR
BluStar Games Limited,games,HKG
BNC Co.,apps,KOR
BNKLAB,apps,KOR
Bo Peng,games,CHN
Bo Wang,games,CHN
Bob Evans,apps,ARE
Boboshi,apps,SWE
Bodrum,apps,RUS
Bohemia Interactive a.s.,games,CZE
"Boingo Wireless, Inc.",apps,BRA
Bojacob,games,SAU
Bokon AB,apps,SWE
Boldbeast Software Inc.,apps,CAN
Bolin Zhang,games,CHN
bomcomics inc,apps,KOR
Bonnier Publications,apps,DNK
Bonnier Tidskrifter,apps,SWE
"BONUS ISLAND ONLINE ENTERTAINMENT CO., LTD.",games,THA
Bonus Winner Online Entertainment Co. Ltd.,games,TWN
BOOK WALKER,apps,JPN
"BookLive Co., Ltd.",apps,JPN
Bookmate,apps,IRL
"BOOKPAL CO., LTD",apps,KOR
Bookpalcomics,games,THA
BorG Technology Corp.,apps,NGA
Bosch Thermotechnik GmbH,apps,NLD
Boss Fight Entertainment,games,USA
Boss Revolution,apps,USA
Bossa Studios Ltd,games,USA
Boyaa,games,CHN
Boyaa Interactive International Limited,games,TWN
BoyaaGame,games,THA
BPMobile,apps,USA
